"geo","gdp_pps_pct","unemp_rate","educ_tertiary","rnd_gdp_pct","hitech_emp_pct","broadband_pct","country","region","dev_class"
"ITH3",107,5.34166666666667,19.7333333333333,1.27,3.1,93.92,"IT","Veneto","piu_sviluppata"
"ITH4",104,5.80833333333333,21.1666666666667,1.66,3,94.195,"IT","Friuli-Venezia Giulia","piu_sviluppata"
"ITH5",117,5.675,23.2666666666667,2.16,3.5,95.435,"IT","Emilia-Romagna","piu_sviluppata"
"ITI1",100,7.48333333333333,20.7333333333333,1.58,3.7,93.425,"IT","Toscana","transizione"
"ITI2",82,6.63333333333333,22.4333333333333,0.98,3,91.455,"IT","Umbria","transizione"
"ITI3",89,7.05833333333333,21.5333333333333,1,2.8,91.96,"IT","Marche","transizione"
"ITI4",110,10.2166666666667,26.1,2,8.2,94.56,"IT","Lazio","piu_sviluppata"
"LT01",131,6.22,60.5333333333333,1.66,8.4,93.38,"LT","Sostines regionas","piu_sviluppata"
"LT02",70,9.95833333333333,38.5,0.7,2.3,92.31,"LT","Vidurio ir vakaru Lietuvos regionas","meno_sviluppata"
"LU00",262,6.02307692307692,50.5333333333333,1.04,5,97.755,"LU","Luxembourg","piu_sviluppata"
"LV00",71,9.075,38.8,0.74,4.5,93.825,"LV","Latvija","meno_sviluppata"
"MT00",109,3.78333333333333,32.2333333333333,0.67,5.6,95.27,"MT","Malta","piu_sviluppata"
"NL11",120,5.98333333333333,41.8666666666667,NA,4.2,99.29,"NL","Groningen","piu_sviluppata"
"NL12",96,4.65833333333333,33.6,NA,2.5,98.455,"NL","Friesland (NL)","transizione"
"NL13",93,4.0125,35.8,NA,3.1,98.755,"NL","Drenthe","transizione"
"NL21",113,4.03333333333333,39.9333333333333,NA,4.2,99.695,"NL","Overijssel","piu_sviluppata"
"NL22",112,4.3,42.6666666666667,NA,4.5,99.365,"NL","Gelderland","piu_sviluppata"
"NL23",98,5.42,35,NA,8.2,99.115,"NL","Flevoland","transizione"
"NL32",168,5.93076923076923,49.1333333333333,NA,7.2,99.25,"NL","Noord-Holland","piu_sviluppata"
"NL34",104,4.5,29.8333333333333,NA,2.6,100,"NL","Zeeland","piu_sviluppata"
"NL41",137,3.58333333333333,39.9666666666667,NA,5.7,99.25,"NL","Noord-Brabant","piu_sviluppata"
"NL42",114,4.06666666666667,38.4,NA,3.7,99.06,"NL","Limburg (NL)","piu_sviluppata"
"PT11",65,6.775,24.7666666666667,1.97,3.3,88.605,"PT","Norte","meno_sviluppata"
"PT15",71,8.85,24.6666666666667,0.48,NA,89.635,"PT","Algarve","meno_sviluppata"
"PT20",65,7.25,15.8333333333333,0.41,NA,92.675,"PT","Regi~ao Aut'onoma dos Acores","meno_sviluppata"
"PT30",71,7.7,24.5666666666667,0.46,NA,91.7,"PT","Regi~ao Aut'onoma da Madeira","meno_sviluppata"
"RO11",67,4.675,19.3333333333333,0.25,3,94.525,"RO","Nord-Vest","meno_sviluppata"
"RO12",68,7.9125,16.4333333333333,0.35,2,94.605,"RO","Centru","meno_sviluppata"
"RO21",45,8.5,12.3666666666667,0.25,1.9,93.14,"RO","Nord-Est","meno_sviluppata"
"RO22",58,7.2375,12.9333333333333,0.1,0.8,91.675,"RO","Sud-Est","meno_sviluppata"
"RO31",54,10.3,13.9666666666667,0.27,1.5,92.585,"RO","Sud-Muntenia","meno_sviluppata"
"RO32",168,4.3125,41.0333333333333,0.97,10.7,96.89,"RO","Bucuresti-Ilfov","piu_sviluppata"
"RO41",55,12.625,17.4,0.12,1,92.57,"RO","Sud-Vest Oltenia","meno_sviluppata"
"RO42",73,3.44,16.3333333333333,0.67,5,94.585,"RO","Vest","meno_sviluppata"
"SE11",164,12.4833333333333,56.1333333333333,3.57,11.5,95.425,"SE","Stockholm","piu_sviluppata"
"SE12",102,13.425,44.6666666666667,3.65,5,95.77,"SE","""Ostra Mellansverige","piu_sviluppata"
