"geo","country","region","dev_class","unemp_rate","educ_tertiary","rnd_gdp_pct","hitech_emp_pct","broadband_pct"
"PT20","PT","Regi~ao Aut'onoma dos Acores","meno_sviluppata",7.25,15.8333333333333,0.41,89.14,92.675
"PT30","PT","Regi~ao Aut'onoma da Madeira","meno_sviluppata",7.7,24.5666666666667,0.46,77.24,91.7
"RO11","RO","Nord-Vest","meno_sviluppata",4.675,19.3333333333333,0.25,451.52,94.525
"RO12","RO","Centru","meno_sviluppata",7.9125,16.4333333333333,0.35,374.49,94.605
"RO21","RO","Nord-Est","meno_sviluppata",8.5,12.3666666666667,0.25,263.67,93.14
"RO22","RO","Sud-Est","meno_sviluppata",7.2375,12.9333333333333,0.1,259.75,91.675
"RO31","RO","Sud-Muntenia","meno_sviluppata",10.3,13.9666666666667,0.27,287.45,92.585
"RO32","RO","Bucuresti-Ilfov","piu_sviluppata",4.3125,41.0333333333333,0.97,309.58,96.89
"RO41","RO","Sud-Vest Oltenia","meno_sviluppata",12.625,17.4,0.12,251.25,92.57
"RO42","RO","Vest","meno_sviluppata",3.44,16.3333333333333,0.67,311.8,94.585
"SE11","SE","Stockholm","piu_sviluppata",12.4833333333333,56.1333333333333,3.57,64.25,95.425
"SE12","SE","""Ostra Mellansverige","piu_sviluppata",13.425,44.6666666666667,3.65,98.29,95.77
"SE21","SE","Smaland med ""oarna","piu_sviluppata",10.5636363636364,37.9666666666667,1.64,106.7,94.415
"SE22","SE","Sydsverige","piu_sviluppata",14.4916666666667,47.5,3.25,90.48,94.98
"SE23","SE","V""astsverige","piu_sviluppata",11.8,45.6333333333333,5.31,94.46,93.13
"SE31","SE","Norra Mellansverige","transizione",12.7545454545455,35.6333333333333,1.05,97.33,93.365
"SE32","SE","Mellersta Norrland","piu_sviluppata",11.15,40.2333333333333,0.7,103.69,93.29
"SE33","SE","""Ovre Norrland","piu_sviluppata",9.1,43.3,2.51,117.43,89.125
"SI03","SI","Vzhodna Slovenija","meno_sviluppata",6.03333333333333,35.5,1.52,95.3,95.54
"SI04","SI","Zahodna Slovenija","piu_sviluppata",5.14545454545455,46.0666666666667,2.59,75.46,97.64
"SK01","SK","Bratislavsk'y kraj","piu_sviluppata",2.6,46.5666666666667,1.52,320.53,98.07
"SK02","SK","Z'apadn'e Slovensko","meno_sviluppata",4.48571428571429,23.6666666666667,0.78,371.35,94.64
"SK03","SK","Stredn'e Slovensko","meno_sviluppata",10.825,24.5333333333333,0.72,421.43,95.255
"SK04","SK","V'ychodn'e Slovensko","meno_sviluppata",29.0333333333333,27.7666666666667,0.57,335.17,93.52
